연도,시도,시군구,읍면동,일반수급자 가구수,일반수급자 수급권자수,조건부수급자 가구수,조건부수급자 수급권자수,특례수급자 가구수,특례수급자 수급권자수,기타 가구수,기타 수급권자수,시설수급자 가구수,시설수급자 수급권자수
2021,부산광역시,동래구,동래구,12,11,1,0,0,0,0,0,422,422
2021,부산광역시,동래구,수민동,706,928,20,31,24,34,1,1,1,1
2021,부산광역시,동래구,복산동,572,716,25,53,18,21,0,0,1,1
2021,부산광역시,동래구,명륜동,381,508,10,15,16,17,0,0,0,0
2021,부산광역시,동래구,온천1동,797,960,33,45,18,24,0,0,6,6
2021,부산광역시,동래구,온천2동,359,485,9,16,13,18,0,0,53,53
2021,부산광역시,동래구,온천3동,1238,1744,54,84,21,24,0,0,0,0
2021,부산광역시,동래구,사직1동,388,523,22,42,10,15,0,0,0,0
2021,부산광역시,동래구,사직2동,238,360,10,23,4,7,0,0,0,0
2021,부산광역시,동래구,사직3동,750,1121,30,50,9,13,0,0,0,0
2021,부산광역시,동래구,안락1동,668,874,25,48,15,21,0,0,0,0
2021,부산광역시,동래구,안락2동,774,1057,36,72,9,10,0,0,0,0
2021,부산광역시,동래구,명장1동,563,751,15,20,27,43,0,0,0,0
2021,부산광역시,동래구,명장2동,617,901,23,53,15,22,0,0,4,4
2021,부산광역시,남구,남구,1,1,0,0,0,0,0,0,105,105
2021,부산광역시,남구,대연1동,525,676,75,127,17,22,0,0,3,3
2021,부산광역시,남구,대연3동,287,364,37,51,9,9,0,0,1,1
2021,부산광역시,남구,대연4동,527,676,66,108,9,15,0,0,0,0
2021,부산광역시,남구,대연5동,441,611,40,75,18,26,0,0,0,0
2021,부산광역시,남구,대연6동,239,303,13,20,13,14,0,0,0,0
2021,부산광역시,남구,용호1동,934,1233,92,160,42,57,0,0,1,1
2021,부산광역시,남구,용호2동,362,467,22,34,16,16,0,0,0,0
2021,부산광역시,남구,용호3동,629,795,67,119,36,44,0,0,1,1
2021,부산광역시,남구,용호4동,349,498,34,65,17,26,0,0,0,0
2021,부산광역시,남구,용당동,246,322,18,30,8,9,0,0,1,1
2021,부산광역시,남구,감만1동,642,852,63,108,24,37,0,0,0,0
2021,부산광역시,남구,감만2동,429,560,29,49,9,11,0,0,0,0
2021,부산광역시,남구,우암동,560,692,51,91,22,29,0,0,0,0
